211,211,'East Tennessee State University',"Johnson City, TN",in-state: $7985 out-of-state: $17917
212,212,'Florida A&M University',"Tallahassee, FL",in-state: $5785 out-of-state: $17725
213,213,'Florida Atlantic University',"Boca Raton, FL",in-state: $6039 out-of-state: $21575
214,214,'Florida International University',"Miami, FL",in-state: $6496 out-of-state: $18895
215,215,'Georgia Southern University',"Statesboro, GA",in-state: $7190 out-of-state: $20086
216,216,'Georgia State University',"Atlanta, GA",in-state: $10240 out-of-state: $28450
217,217,'Indiana State University',"Terre Haute, IN",in-state: $8416 out-of-state: $18346
218,218,'Indiana University of Pennsylvania',"Indiana, PA",in-state: $9470 out-of-state: $19700
219,219,'Jackson State University',"Jackson, MS",in-state: $6348 out-of-state: $15552
220,220,'Lamar University',"Beaumont, TX",in-state: $9361 out-of-state: $19681
221,221,'Lynn University',"Boca Raton, FL",$34550
222,222,'Middle Tennessee State University',"Murfreesboro, TN",in-state: $7370 out-of-state: $24434
223,223,'Montana State University',"Bozeman, MT",in-state: $6894 out-of-state: $21296
224,224,'Morgan State University',"Baltimore, MD",in-state: $7378 out-of-state: $16862
225,225,'National-\xe2\x80\x8bLouis University',"Chicago, IL",$15915
226,226,'New Mexico State University',"Las Cruces, NM",in-state: $6573 out-of-state: $20658
227,227,'North Carolina A&T State University',"Greensboro, NC",in-state: $5422 out-of-state: $16503
228,228,'Northern Arizona University',"Flagstaff, AZ",in-state: $9990 out-of-state: $22510
229,229,'Nova Southeastern University',"Ft. Lauderdale, FL",$26700
230,230,'Oakland University',"Rochester, MI",in-state: $11460 out-of-state: $24735
231,231,'Old Dominion University',"Norfolk, VA",in-state: $9280 out-of-state: $25030
232,232,'Our Lady of the Lake University',"San Antonio, TX",$24596
233,233,'Portland State University',"Portland, OR",in-state: $7878 out-of-state: $23088
234,234,'Regent University',"Virginia Beach, VA",$16638
235,235,'Sam Houston State University',"Huntsville, TX",in-state: $8932 out-of-state: $19792
236,236,'South Carolina State University',"Orangeburg, SC",in-state: $9776 out-of-state: $18910
237,237,'Tennessee State University',"Nashville, TN",in-state: $6776 out-of-state: $20132
238,238,'Texas A&M University--Commerce',"Commerce, TX",in-state: $7096 out-of-state: $17956
239,239,'Texas A&M University--Corpus Christi',"Corpus Christi, TX",in-state: $7778 out-of-state: $18398
240,240,'Texas A&M University--Kingsville',"Kingsville, TX",in-state: $7434 out-of-state: $18294
241,241,'Texas Southern University',"Houston, TX",in-state: $7946 out-of-state: $18566
242,242,"b""Texas Woman's University""","Denton, TX",in-state: $7560 out-of-state: $18420
243,243,'Trevecca Nazarene University',"Nashville, TN",$23126
