rank,college,tuition,city,state
189,'University of Missouri--Kansas City',in-state: $9582 out-of-state: $22641,Kansas City,MO
189,'University of New Mexico',in-state: $6846 out-of-state: $20688,Albuquerque,NM
189,'Widener University',$39830,Chester,PA
194,'Central Michigan University',in-state: $11550 out-of-state: $23670,Mount Pleasant,MI
194,'Indiana University-\xe2\x80\x8bPurdue University--Indianapolis',in-state: $8909 out-of-state: $30089,Indianapolis,IN
194,'Kent State University',in-state: $10012 out-of-state: $17972,Kent,OH
194,'Northern Illinois University',in-state: $13636 out-of-state: $22914,DeKalb,IL
194,'University of Montana',in-state: $6330 out-of-state: $23146,Missoula,MT
194,'University of Nevada--Reno',in-state: $6415 out-of-state: $20325,Reno,NV
194,'Utah State University',in-state: $6384 out-of-state: $18491,Logan,UT
201,'Louisiana Tech University',in-state: $8052 out-of-state: $22635,Ruston,LA
201,'University of North Carolina--Charlotte',in-state: $6179 out-of-state: $18708,Charlotte,NC
203,'Ashland University',$19852,Ashland,OH
204,'Barry University',$28160,Miami Shores,FL
205,'Benedictine University',$26950,Lisle,IL
206,'Bowie State University',in-state: $6971 out-of-state: $17538,Bowie,MD
207,'Cardinal Stritch University',$26570,Milwaukee,WI
208,'Clark Atlanta University',$21334,Atlanta,GA
209,'Cleveland State University',in-state: $9473 out-of-state: $12653,Cleveland,OH
210,'East Carolina University',in-state: $6143 out-of-state: $21340,Greenville,NC
211,'East Tennessee State University',in-state: $7985 out-of-state: $17917,Johnson City,TN
212,'Florida A&M University',in-state: $5785 out-of-state: $17725,Tallahassee,FL
213,'Florida Atlantic University',in-state: $6039 out-of-state: $21575,Boca Raton,FL
214,'Florida International University',in-state: $6496 out-of-state: $18895,Miami,FL
215,'Georgia Southern University',in-state: $7190 out-of-state: $20086,Statesboro,GA
216,'Georgia State University',in-state: $10240 out-of-state: $28450,Atlanta,GA
217,'Indiana State University',in-state: $8416 out-of-state: $18346,Terre Haute,IN
218,'Indiana University of Pennsylvania',in-state: $9470 out-of-state: $19700,Indiana,PA
219,'Jackson State University',in-state: $6348 out-of-state: $15552,Jackson,MS
220,'Lamar University',in-state: $9361 out-of-state: $19681,Beaumont,TX
221,'Lynn University',$34550,Boca Raton,FL
222,'Middle Tennessee State University',in-state: $7370 out-of-state: $24434,Murfreesboro,TN
223,'Montana State University',in-state: $6894 out-of-state: $21296,Bozeman,MT
224,'Morgan State University',in-state: $7378 out-of-state: $16862,Baltimore,MD
225,'National-\xe2\x80\x8bLouis University',$15915,Chicago,IL
226,'New Mexico State University',in-state: $6573 out-of-state: $20658,Las Cruces,NM
227,'North Carolina A&T State University',in-state: $5422 out-of-state: $16503,Greensboro,NC
228,'Northern Arizona University',in-state: $9990 out-of-state: $22510,Flagstaff,AZ
229,'Nova Southeastern University',$26700,Ft. Lauderdale,FL
230,'Oakland University',in-state: $11460 out-of-state: $24735,Rochester,MI
231,'Old Dominion University',in-state: $9280 out-of-state: $25030,Norfolk,VA
232,'Our Lady of the Lake University',$24596,San Antonio,TX
233,'Portland State University',in-state: $7878 out-of-state: $23088,Portland,OR
234,'Regent University',$16638,Virginia Beach,VA
235,'Sam Houston State University',in-state: $8932 out-of-state: $19792,Huntsville,TX
236,'South Carolina State University',in-state: $9776 out-of-state: $18910,Orangeburg,SC
237,'Tennessee State University',in-state: $6776 out-of-state: $20132,Nashville,TN
238,'Texas A&M University--Commerce',in-state: $7096 out-of-state: $17956,Commerce,TX
239,'Texas A&M University--Corpus Christi',in-state: $7778 out-of-state: $18398,Corpus Christi,TX
240,'Texas A&M University--Kingsville',in-state: $7434 out-of-state: $18294,Kingsville,TX
241,'Texas Southern University',in-state: $7946 out-of-state: $18566,Houston,TX
242,"b""Texas Woman's University""",in-state: $7560 out-of-state: $18420,Denton,TX
243,'Trevecca Nazarene University',$23126,Nashville,TN
244,'Trinity International University',$27360,Deerfield,IL
245,'University of Akron',in-state: $10320 out-of-state: $18851,Akron,OH
246,'University of Alaska--Fairbanks',in-state: $6752 out-of-state: $20072,Fairbanks,AK
247,'University of Arkansas--Little Rock',in-state: $7909 out-of-state: $18979,Little Rock,AR
248,'University of Colorado--Denver',in-state: $9625 out-of-state: $26105,Denver,CO
249,'University of Louisiana--Lafayette',in-state: $6948 out-of-state: $19348,Lafayette,LA
250,'University of Massachusetts--Boston',in-state: $11966 out-of-state: $28390,Boston,MA
251,'University of Memphis',in-state: $8619 out-of-state: $13275,Memphis,TN
252,'University of Missouri--St. Louis',in-state: $9474 out-of-state: $24795,St. Louis,MO
253,'University of Nebraska--Omaha',in-state: $6750 out-of-state: $18070,Omaha,NE
254,'University of Nevada--Las Vegas',in-state: $6690 out-of-state: $20600,Las Vegas,NV
255,'University of New Orleans',in-state: $7482 out-of-state: $21092,New Orleans,LA
256,'University of Northern Colorado',in-state: $7573 out-of-state: $18817,Greeley,CO
257,'University of North Texas',in-state: $9706 out-of-state: $20566,Denton,TX
258,'University of South Alabama',in-state: $6948 out-of-state: $13596,Mobile,AL
259,'University of Southern Mississippi',in-state: $6744 out-of-state: $15024,Hattiesburg,MS
260,'University of Texas--Arlington',in-state: $8878 out-of-state: $20274,Arlington,TX
261,'University of Texas--El Paso',in-state: $7018 out-of-state: $17639,El Paso,TX
262,'University of Texas--San Antonio',in-state: $8737 out-of-state: $20050,San Antonio,TX
263,'University of Toledo',in-state: $9280 out-of-state: $19158,Toledo,OH
264,'University of West Florida',in-state: $8942 out-of-state: $21824,Pensacola,FL
265,'University of Wisconsin--Milwaukee',in-state: $9882 out-of-state: $19610,Milwaukee,WI
266,'Wayne State University',in-state: $12350 out-of-state: $26592,Detroit,MI
267,'Wichita State University',in-state: $7267 out-of-state: $16697,Wichita,KS
268,'Wright State University',in-state: $8730 out-of-state: $16910,Dayton,OH
269,'Alliant International University',$19930,San Diego,CA
270,'Argosy University',$13663,Orange,CA
271,'California Institute of Integral Studies',$25713,San Francisco,CA
272,'Capella University',$12348,Minneapolis,MN
273,'Colorado Technical University',$11300,Colorado Springs,CO
274,'Idaho State University',in-state: $6344 out-of-state: $18676,Pocatello,ID
275,'Northcentral University',,Prescott Valley,AZ
276,'Trident University International',$6600,Cypress,CA
277,'Union Institute and University',$11904,Cincinnati,OH
278,'University of Phoenix',,Phoenix,AZ
279,'Walden University',$14300,Minneapolis,MN
280,'Wilmington University',$10190,New Castle,DE
